USER_ID,ITEM_ID,RATING,TIMESTAMP
1,1193,5,978300760
1,661,3,978302109
1,914,3,978301968
1,1197,3,978302268
1,594,4,978302268
1,919,4,978301368
1,595,5,978824268
1,938,4,978301752
1,1035,5,978301753
1,720,3,978300760
1,527,5,978824195
1,48,5,978824351
1,1097,4,978301953
1,745,3,978824268
1,588,4,978824268
1,783,4,978824291
1,1022,5,978300055
1,150,5,978301777
1,1,5,978824268
1,260,4,978300760
1,1028,5,978301777
1,1029,5,978302205
1,531,4,978302149
1,608,4,978301398
2,647,3,978299351
2,648,4,978299913
2,1103,3,978298905
2,434,2,978300174
2,292,3,978300123
2,902,2,978298905
2,368,4,978300002
2,1188,4,978299620
2,110,5,978298625
2,589,4,978299773
2,982,4,978299269
2,515,5,978298542
2,442,3,978300025
2,265,4,978299026
2,1084,3,978298813
2,480,5,978299809
2,1193,5,978298413
2,590,5,978299083
2,1196,5,978298730
2,736,4,978300100
2,1198,4,978298124
2,593,5,978298517
2,95,2,978300143
2,235,3,978299351
2,1124,5,978299418
2,163,4,978299809
2,21,1,978299839
2,165,3,978300002
2,1090,2,978298580
2,380,5,978299809
2,349,4,978299839
2,457,4,978299773
2,1096,4,978299386
2,920,5,978298775
2,459,3,978300002
2,780,3,978299966
2,498,3,978299418
2,318,5,978298413
2,356,5,978299686
3,648,3,978297867
3,104,4,978298486
3,1079,5,978298296
3,653,4,978297757
3,260,5,978297512
3,1049,4,978297805
3,552,4,978297837
3,480,4,978297690
3,733,5,978297757
3,1196,4,978297539
3,590,4,978297439
3,1197,5,978297570
3,1198,5,978297570
3,593,3,978297018
3,1136,5,978298079
4,1036,4,978294282
4,260,5,978294199
4,480,4,978294008
4,1196,2,978294199
4,1198,5,978294199
4,1097,4,978293964
4,1201,5,978294230
5,1175,5,978244759
5,39,3,978245037
5,288,2,978246585
5,860,2,978244493
5,866,4,978245334
5,215,3,978245422
5,501,1,978244001
5,506,4,978245999
5,509,4,978245829
5,41,4,978244692
5,47,3,978245334
5,296,4,978244177
5,581,3,978244808
5,728,4,978244759
5,299,3,978242934
5,150,2,978245763
5,224,3,978245829
5,229,3,978246528
5,6,2,978245916
5,1046,5,978244114
5,515,4,978245891
5,800,2,978244540
5,50,5,978244205
5,52,2,978246479
5,1191,2,978246426
5,1192,5,978244493
5,733,1,978245763
5,377,4,978245999
5,593,4,978244177
5,162,4,978244624
5,1127,1,978241390
5,968,3,978242847
5,896,4,978244493
5,318,3,978244177
5,176,4,978244568
5,461,3,978244893
5,608,4,978244177
5,321,3,978245863
5,908,4,978241072
5,16,3,978245645
5,265,3,978245037
5,194,3,978246108
5,551,4,978246504
5,1089,5,978244205
5,913,5,978242740
5,919,4,978241072
5,412,2,978245891
5,994,5,978244540
5,272,3,978245487
5,24,1,978242934
5,348,4,978245863
5,1093,2,978242080
5,29,5,978245065
5,562,4,978244603
5,1095,4,978245065
5,497,3,978245687
5,202,2,978246033
5,353,2,978246504
5,32,4,978244962
5,1171,4,978244852
5,34,4,978244603
5,356,1,978241112
5,357,2,978245829
5,36,3,978244808
5,714,4,978244493
6,1101,4,978236670
6,1030,4,978237691
6,1035,5,978237767
6,364,4,978237570
6,368,4,978237909
6,296,2,978237379
6,48,5,978237570
6,1188,4,978236771
6,588,4,978237511
6,1,4,978237008
6,1043,4,978236219
6,377,3,978236383
6,590,3,978237232
6,595,4,978237511
6,597,5,978239019
6,383,4,978237909
6,838,4,978237444
6,1007,3,978238036
6,266,4,978237909
6,17,4,978236383
6,1088,5,978236670
6,912,4,978236122
6,199,5,978237570
6,914,5,978237767
6,920,4,978238851
6,569,4,978236876
6,1028,4,978237767
6,34,4,978237444
7,648,4,978234737
7,861,4,978234874
7,589,5,978234786
7,6,4,978234842
7,442,4,978234632
7,733,5,978234842
7,377,3,978234810
7,1196,5,978234632
7,380,5,978234874
7,457,5,978234786
7,474,5,978234842
7,110,5,978234786
7,480,4,978234607
7,349,5,978234874
8,39,3,978229571
8,288,5,978229391
8,506,3,978230483
8,508,3,978230435
8,42,3,978232754
8,650,5,978230943
8,296,5,978229857
8,589,5,978229138
8,150,4,978230611
8,151,4,978231150
8,1,4,978233496
8,510,3,978232056
8,4,3,978232203
8,733,3,978229347
8,377,4,978229204
8,58,5,978230286
8,230,4,978231637
8,1120,4,978230391
8,161,3,978230435
8,163,5,978229246
8,524,5,978230611
8,1059,3,978229614
8,527,4,978229857
8,454,3,978231173
8,741,5,978233526
8,608,5,978229857
8,465,5,978231173
8,538,3,978230391
8,393,2,978229138
8,73,4,978230286
8,105,4,978232056
8,253,5,978230943
8,476,3,978230687
8,908,5,978228882
8,110,5,978229172
8,111,5,978228832
8,14,4,978230756
8,337,5,978230248
8,265,4,978229571
8,16,4,978230095
8,266,4,978231614
8,17,4,978229571
8,480,5,978228960
8,269,4,978231121
8,555,4,978229204
8,345,3,978230943
8,24,4,978230966
8,25,5,978229477
8,349,4,978229347
8,562,5,978230184
8,1027,4,978232203
8,282,3,978231802
8,36,4,978230013
9,861,2,978226665
9,508,3,978226315
9,720,4,978225898
9,367,3,978226678
9,47,5,978226093
9,223,4,978226165
9,150,3,978226041
9,1,5,978225952
9,50,4,978225333
9,805,3,978226564
9,377,3,978226150
9,590,5,978226434
9,593,5,978225314
9,597,3,978226473
9,300,4,978226277
9,162,4,978226023
9,524,4,978226599
9,527,5,978225303
9,529,5,978226564
9,457,5,978226006
9,745,4,978225898
9,1060,4,978226261
9,318,5,978225883
9,608,4,978225898
9,1148,4,978225333
9,838,3,978226495
9,16,4,978226599
9,480,4,978226448
9,1089,4,978225968
9,912,4,978224879
9,778,5,978226248
9,412,3,978226261
9,994,4,978226328
